Provinsi,Jenis Komoditas,Jenis OPT,Total Luas Serangan (Ha)
ACEH,Kakao,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),491667.36
ACEH,Kakao,Kepik Penghisap Helopeltis sp.,372204.4
ACEH,Kakao,Busuk Buah Kakao (Phytophthora palmivora),274067.9
ACEH,Kelapa,Tupai/bajing (Callosciurus sp.),81933.0
ACEH,Kelapa,Kumbang nyiur (Oryctes rhinoceros),66037.2
ACEH,Kelapa,Kumbang janur (Brontispa sp.),45162.1
ACEH,Kopi,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),495565.6
ACEH,Kopi,Jamur Akar,480970.05
ACEH,Kopi,Penggerek batang (Zeuzera sp.),67165.8
BENGKULU,Kakao,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),60566.61
BENGKULU,Kakao,Busuk Buah Kakao (Phytophthora palmivora),379.4
BENGKULU,Karet,Kering Alur Sadap,141886.97
BENGKULU,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),29562.27
BENGKULU,Karet,Gugur Daun Karet ( Pestalotiopsis sp.),20042.5
BENGKULU,Kopi,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),353462.12
BENGKULU,Kopi,Penggerek batang (Zeuzera sp.),700.4
JAMBI,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),357534.86
JAMBI,Karet,Babi hutan (Sus sp.),113187.05
JAMBI,Karet,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),69006.83
JAMBI,Kelapa Sawit,Babi hutan (Sus sp.),94441.43
JAMBI,Kelapa Sawit,Kering Daun,32593.15
JAMBI,Kelapa Sawit,Kumbang nyiur (Oryctes rhinoceros),13645.25
JAMBI,Kopi,Karat daun (Hemileia vastatrix),27877.0
JAMBI,Kopi,Jamur Akar,24711.0
JAMBI,Kopi,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),21470.2
KEPULAUAN BANGKA BELITUNG,Karet,Gugur Daun Karet ( Pestalotiopsis sp.),169897.44
KEPULAUAN BANGKA BELITUNG,Karet,Gulma,58779.14
KEPULAUAN BANGKA BELITUNG,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),54112.44
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,karat daun,221626.44
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,gulma,147026.02
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,Imperata cylindrica,81143.55
KEPULAUAN BANGKA BELITUNG,Lada,"Penyakit kuning/Nematoda (Radopholus similis, Meloidogyne incognita, dan Pratylenchus sp.)",182581.31
KEPULAUAN BANGKA BELITUNG,Lada,Penyakit keriting,96280.88
KEPULAUAN BANGKA BELITUNG,Lada,Busuk pangkal batang (Phytophthora capsici),95320.85
KEPULAUAN RIAU,Cengkeh,Layu bakteri/BPKC (Pseudomonas syzygii),2792.7
KEPULAUAN RIAU,Cengkeh,Penggerek batang (Nothopeus sp. dan Hexamitodera semivelutina),2688.92
KEPULAUAN RIAU,Cengkeh,Jamur Akar Putih (Rigidoporus lignosus),1728.0
KEPULAUAN RIAU,Karet,Rayap (Anai-anai),2273.03
KEPULAUAN RIAU,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),1341.72
KEPULAUAN RIAU,Karet,Kanker garis (Phytophthora palmivora),543.5
KEPULAUAN RIAU,Kelapa,Tupai/bajing (Callosciurus sp.),4074.65
KEPULAUAN RIAU,Kelapa,Babi hutan (Sus sp.),2100.0
KEPULAUAN RIAU,Kelapa,gulma,1749.0
LAMPUNG,Kakao,Busuk Buah Kakao (Phytophthora palmivora),47842.79
LAMPUNG,Kakao,Kepik Penghisap Helopeltis sp.,43994.72
LAMPUNG,Kakao,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),41499.76
LAMPUNG,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),47116.38
LAMPUNG,Karet,Kering Alur Sadap,39060.77
LAMPUNG,Karet,Gugur Daun Karet (Colletotrichum gloesporioidies sp.),20987.760000000002
LAMPUNG,Kopi,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),25256.64
LAMPUNG,Kopi,Penggerek cabang Xylosandrus sp.,23496.45
LAMPUNG,Kopi,Penggerek Cabang (Xylosandrus sp. dan Xyleborus sp.),19404.27
RIAU,Karet,Gulma,270251.79
RIAU,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),82675.86
RIAU,Karet,Babi hutan (Sus sp.),40262.5
RIAU,Kelapa,Babi hutan (Sus sp.),100980.8
RIAU,Kelapa,gulma,73334.4
RIAU,Kelapa,Kera,68833.0
RIAU,Kelapa Sawit,gulma,676239.68
RIAU,Kelapa Sawit,Kumbang nyiur (Oryctes rhinoceros),65071.67
RIAU,Kelapa Sawit,Babi hutan (Sus sp.),61583.04
SUMATERA BARAT,Kakao,Busuk Buah Kakao (Phytophthora palmivora),60254.0
SUMATERA BARAT,Kakao,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),59220.9
SUMATERA BARAT,Kakao,Kepik Penghisap Helopeltis sp.,52392.5
SUMATERA BARAT,Karet,Gugur Daun Karet ( Pestalotiopsis sp.),49504.0
SUMATERA BARAT,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),37595.1
SUMATERA BARAT,Karet,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),26334.8
SUMATERA BARAT,Kelapa,Tupai/bajing (Callosciurus sp.),32766.0
SUMATERA BARAT,Kelapa,Kumbang janur (Brontispa sp.),14263.4
SUMATERA BARAT,Kelapa,Hidari irava,9220.6
SUMATERA SELATAN,Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),851474.0
