Provinsi,Jenis Komoditas,Ranking Komoditas,Jenis OPT Asli,Ranking OPT,Total Luas Serangan (Ha),Jenis OPT Standar,Nama Ilmiah,Kategori,Tbase,GDD,Topt_min,Topt_max,RH_min,Trigger,Referensi
ACEH,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),1,491667.36,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
ACEH,Kakao,1,Kepik Penghisap Helopeltis sp.,2,372204.4,Kepik Penghisap Helopeltis sp.,Helopeltis sp.,Serangga,12.0,250.0,,,,,
ACEH,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),3,274067.9,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
ACEH,Kelapa,3,Tupai/bajing (Callosciurus sp.),1,81933.0,Tupai/bajing (Callosciurus sp.),Callosciurus sp.,Mamalia,,,,,,,
ACEH,Kelapa,3,Kumbang Nyiur (Oryctes rhinoceros),2,66037.2,Kumbang Nyiur (Oryctes rhinoceros),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
ACEH,Kelapa,3,Kumbang Janur (Brontispa sp.),3,45162.1,Kumbang Janur (Brontispa sp.),Brontispa sp.,Serangga,11.1,966.0,,,,,
ACEH,Kopi,2,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,495565.6,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
ACEH,Kopi,2,Jamur Akar,2,480970.05,Jamur Akar,Jamur akar,Penyakit,,,25.0,28.0,85.0,Drainase buruk,
ACEH,Kopi,2,Penggerek batang (Zeuzera sp.),3,67165.8,Penggerek batang (Zeuzera sp.),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
BENGKULU,Kakao,3,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),1,60566.61,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
BENGKULU,Kakao,3,Busuk Buah Kakao (Phytophthora palmivora),2,379.4,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
BENGKULU,Karet,2,Kering Alur Sadap,1,141886.97,Kering Alur Sadap,Tidak spesifik,Penyakit,,,25.0,30.0,70.0,Stres fisiologis akibat sadap berlebih,
BENGKULU,Karet,2,Jamur Akar Putih (Rigidoporus lignosus),2,29562.27,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
BENGKULU,Karet,2,Gugur Daun Karet ( Pestalotiopsis sp.),3,29236.09,Gugur Daun Karet ( Pestalotiopsis sp.),Pestalotiopsis sp.,Penyakit,,,24.0,28.0,85.0,Periode flushing saat hujan,
BENGKULU,Kopi,1,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,353462.12,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
BENGKULU,Kopi,1,Penggerek batang (Zeuzera sp.),2,700.4,Penggerek batang (Zeuzera sp.),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
JAMBI,Karet,1,Jamur Akar Putih (Rigidoporus lignosus),1,357534.86,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
JAMBI,Karet,1,Babi hutan (Sus sp.),2,113187.05,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
JAMBI,Karet,1,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,69006.83,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),Ceratocystis fimbriata,Penyakit,,,25.0,30.0,85.0,Hujan setelah penyadapan,
JAMBI,Kelapa Sawit,2,Babi hutan (Sus sp.),1,94441.43,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
JAMBI,Kelapa Sawit,2,Kering Daun,2,32593.15,Kering Daun,Tidak spesifik,Penyakit,,,30.0,,60.0,Stres panas dan kekeringan,
JAMBI,Kelapa Sawit,2,Kumbang Nyiur (Oryctes rhinoceros),3,13645.25,Kumbang Nyiur (Oryctes rhinoceros),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
JAMBI,Kopi,3,Karat Daun (Hemileia vastatrix),1,27877.0,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
JAMBI,Kopi,3,Jamur Akar,2,24711.0,Jamur Akar,Jamur akar,Penyakit,,,25.0,28.0,85.0,Drainase buruk,
JAMBI,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),3,21470.2,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
KEPULAUAN BANGKA BELITUNG,Karet,3,Gugur Daun Karet ( Pestalotiopsis sp.),1,183885.86,Gugur Daun Karet ( Pestalotiopsis sp.),Pestalotiopsis sp.,Penyakit,,,24.0,28.0,85.0,Periode flushing saat hujan,
KEPULAUAN BANGKA BELITUNG,Karet,3,Gulma,2,58779.14,Gulma,Tidak spesifik,Gulma,,,,,,,
KEPULAUAN BANGKA BELITUNG,Karet,3,Jamur Akar Putih (Rigidoporus lignosus),3,54112.44,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,Karat Daun (Hemileia vastatrix),1,221626.44,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,Gulma,2,147026.02,Gulma,Tidak spesifik,Gulma,,,,,,,
KEPULAUAN BANGKA BELITUNG,Kelapa Sawit,1,Imperata cylindrica,3,81143.55,Imperata cylindrica,Imperata cylindrica,Gulma,,,,,,,
KEPULAUAN BANGKA BELITUNG,Lada,2,"Penyakit kuning/Nematoda (Radopholus similis, Meloidogyne incognita, dan Pratylenchus sp.)",1,182581.31,"Penyakit kuning/Nematoda (Radopholus similis, Meloidogyne incognita, dan Pratylenchus sp.)",Radopholus similis; Meloidogyne incognita; Pratylenchus sp.,Penyakit,,,25.0,30.0,80.0,Kelembapan tanah tinggi,
KEPULAUAN BANGKA BELITUNG,Lada,2,Penyakit keriting,2,96280.88,Penyakit keriting,Tidak spesifik,Penyakit,,,25.0,30.0,70.0,Populasi vektor + cuaca kering,
KEPULAUAN BANGKA BELITUNG,Lada,2,Busuk Pangkal Batang (Phytophthora capsici),3,95320.85,Busuk Pangkal Batang (Phytophthora capsici),Phytophthora capsici,Penyakit,,,24.0,28.0,90.0,Genangan air di area perakaran,
KEPULAUAN RIAU,Cengkeh,2,Layu bakteri/BPKC (Pseudomonas syzygii),1,2792.7,Layu bakteri/BPKC (Pseudomonas syzygii),Pseudomonas syzygii,Penyakit,,,28.0,32.0,80.0,Luka mekanis + curah hujan tinggi,
KEPULAUAN RIAU,Cengkeh,2,Penggerek batang (Nothopeus sp. dan Hexamitodera semivelutina),2,2688.92,Penggerek batang (Nothopeus sp. dan Hexamitodera semivelutina),Nothopeus sp.; Hexamitodera semivelutina,Serangga,11.0,2000.0,,,,,
KEPULAUAN RIAU,Cengkeh,2,Jamur Akar Putih (Rigidoporus lignosus),3,1728.0,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
KEPULAUAN RIAU,Karet,3,Rayap (Anai-anai),1,2273.03,Rayap (Anai-anai),Isoptera,Serangga,,,,,,,
KEPULAUAN RIAU,Karet,3,Jamur Akar Putih (Rigidoporus lignosus),2,1341.72,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
KEPULAUAN RIAU,Karet,3,Kanker garis (Phytophthora palmivora),3,543.5,Kanker garis (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Kelembapan tinggi pada batang,
KEPULAUAN RIAU,Kelapa,1,Tupai/bajing (Callosciurus sp.),1,4074.65,Tupai/bajing (Callosciurus sp.),Callosciurus sp.,Mamalia,,,,,,,
KEPULAUAN RIAU,Kelapa,1,Babi hutan (Sus sp.),2,2100.0,Babi hutan (Sus sp.),Sus sp.,Mamalia,,,,,,,
KEPULAUAN RIAU,Kelapa,1,Gulma,3,1749.0,Gulma,Tidak spesifik,Gulma,,,,,,,
LAMPUNG,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),1,47842.79,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
LAMPUNG,Kakao,1,Kepik Penghisap Helopeltis sp.,2,43994.72,Kepik Penghisap Helopeltis sp.,Helopeltis sp.,Serangga,12.0,250.0,,,,,
LAMPUNG,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),3,41499.76,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
LAMPUNG,Karet,2,Jamur Akar Putih (Rigidoporus lignosus),1,47116.38,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,Kontak akar dan tanah masam,
LAMPUNG,Karet,2,Kering Alur Sadap,2,39060.77,Kering Alur Sadap,Tidak spesifik,Penyakit,,,25.0,30.0,70.0,Stres fisiologis akibat sadap berlebih,
LAMPUNG,Karet,2,Gugur Daun Karet ( Pestalotiopsis sp.),3,23500.37,Gugur Daun Karet ( Pestalotiopsis sp.),Pestalotiopsis sp.,Penyakit,,,24.0,28.0,85.0,Periode flushing saat hujan,
LAMPUNG,Kopi,3,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,25256.64,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
