Provinsi,Jenis Komoditas,Ranking Komoditas,Jenis OPT Asli,Ranking OPT,Total Luas Serangan (Ha),Jenis OPT Standar,Nama Ilmiah,Kategori,Tbase,GDD,Topt_min,Topt_max,RH_min,Trigger,Referensi
ACEH,Kakao,1,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),1,491667.36,Conopomorpha cramerella (PBK),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
ACEH,Kakao,1,Kepik Penghisap Helopeltis sp.,2,372204.4,Helopeltis sp. (Kepik Penghisap),Helopeltis sp.,Serangga,12.0,250.0,,,,,
ACEH,Kakao,1,Busuk Buah Kakao (Phytophthora palmivora),3,274067.9,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
ACEH,Kelapa,3,Tupai/bajing (Callosciurus sp.),1,81933.0,,,,,,,,,,
ACEH,Kelapa,3,Kumbang nyiur (Oryctes rhinoceros),2,66037.2,Oryctes rhinoceros (Kumbang Nyiur),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
ACEH,Kelapa,3,Kumbang janur (Brontispa sp.),3,45162.1,Brontispa sp. (Kumbang Janur),Brontispa sp.,Serangga,11.1,966.0,,,,,
ACEH,Kopi,2,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,495565.6,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
ACEH,Kopi,2,Jamur Akar,2,480970.05,Jamur Akar (Umum/Kompleks),Jamur akar,Penyakit,,,25.0,28.0,85.0,Tanah jenuh air/drainase buruk,
ACEH,Kopi,2,Penggerek batang (Zeuzera sp.),3,67165.8,Zeuzera sp. (Penggerek Batang),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
BENGKULU,Kakao,3,Penggerek Buah Kakao/PBK (Conopomorpha cramerella),1,60566.61,Conopomorpha cramerella (PBK),Conopomorpha cramerella,Serangga,14.0,450.0,,,,,
BENGKULU,Kakao,3,Busuk Buah Kakao (Phytophthora palmivora),2,379.4,Busuk Buah Kakao (Phytophthora palmivora),Phytophthora palmivora,Penyakit,,,24.0,28.0,90.0,Durasi basah buah >10 jam setelah hujan,
BENGKULU,Karet,2,Kering Alur Sadap,1,141886.97,Kering Alur Sadap (Fisiologis),Kering Alur Sadap,Penyakit,,,25.0,30.0,70.0,Intensitas sadap tinggi + stres kekeringan,
BENGKULU,Karet,2,Jamur Akar Putih/JAP (Rigidoporus lignosus),2,29562.27,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
BENGKULU,Karet,2,Gugur Daun Karet ( Pestalotiopsis sp.),3,20042.5,Gugur Daun (Pestalotiopsis/Colletotrichum),Pestalotiopsis/Colletotrichum,Penyakit,,,24.0,28.0,85.0,Periode flushing (tunas muda) saat hujan,
BENGKULU,Kopi,1,Penggerek Buah Kopi/PBKo (Hypothenemus hampei),1,353462.12,Hypothenemus hampei (PBKo),Hypothenemus hampei,Serangga,8.9,485.0,,,,,
BENGKULU,Kopi,1,Penggerek batang (Zeuzera sp.),2,700.4,Zeuzera sp. (Penggerek Batang),Zeuzera sp.,Serangga,10.0,1800.0,,,,,
JAMBI,Karet,1,Jamur Akar Putih/JAP (Rigidoporus lignosus),1,357534.86,Jamur Akar Putih (Rigidoporus lignosus),Rigidoporus lignosus,Penyakit,,,25.0,30.0,85.0,pH tanah masam (4.5–5.5) + kontak akar,
JAMBI,Karet,1,Babi hutan (Sus sp.),2,113187.05,,,,,,,,,,
JAMBI,Karet,1,Bidang Sadap/Mouldy rot (Ceratocystis fimbriata),3,69006.83,Bidang Sadap/Mouldy Rot (Ceratocystis),Ceratocystis,Penyakit,,,25.0,30.0,85.0,Hujan <1 jam setelah penyadapan,
JAMBI,Kelapa Sawit,2,Babi hutan (Sus sp.),1,94441.43,,,,,,,,,,
JAMBI,Kelapa Sawit,2,Kering Daun,2,32593.15,Kering Daun (Penyakit Fisiologis),Kering Daun,Penyakit,,,30.0,,60.0,Stres panas dan defisiensi air,
JAMBI,Kelapa Sawit,2,Kumbang nyiur (Oryctes rhinoceros),3,13645.25,Oryctes rhinoceros (Kumbang Nyiur),Oryctes rhinoceros,Serangga,15.0,1500.0,,,,,
JAMBI,Kopi,3,Karat daun (Hemileia vastatrix),1,27877.0,Karat Daun (Hemileia vastatrix),Hemileia vastatrix,Penyakit,,,21.0,25.0,80.0,Embun pagi + suhu sejuk,
